"행정구역","2026년01월_거주자_총인구수","2026년01월_거주자_연령구간인구수","2026년01월_거주자_0~9세","2026년01월_거주자_10~19세","2026년01월_거주자_20~29세","2026년01월_거주자_30~39세","2026년01월_거주자_40~49세","2026년01월_거주자_50~59세","2026년01월_거주자_60~69세","2026년01월_거주자_70~79세","2026년01월_거주자_80~89세","2026년01월_거주자_90~99세","2026년01월_거주자_100세 이상","2026년01월_남_거주자_총인구수","2026년01월_남_거주자_연령구간인구수","2026년01월_남_거주자_0~9세","2026년01월_남_거주자_10~19세","2026년01월_남_거주자_20~29세","2026년01월_남_거주자_30~39세","2026년01월_남_거주자_40~49세","2026년01월_남_거주자_50~59세","2026년01월_남_거주자_60~69세","2026년01월_남_거주자_70~79세","2026년01월_남_거주자_80~89세","2026년01월_남_거주자_90~99세","2026년01월_남_거주자_100세 이상","2026년01월_여_거주자_총인구수","2026년01월_여_거주자_연령구간인구수","2026년01월_여_거주자_0~9세","2026년01월_여_거주자_10~19세","2026년01월_여_거주자_20~29세","2026년01월_여_거주자_30~39세","2026년01월_여_거주자_40~49세","2026년01월_여_거주자_50~59세","2026년01월_여_거주자_60~69세","2026년01월_여_거주자_70~79세","2026년01월_여_거주자_80~89세","2026년01월_여_거주자_90~99세","2026년01월_여_거주자_100세 이상","2026년02월_거주자_총인구수","2026년02월_거주자_연령구간인구수","2026년02월_거주자_0~9세","2026년02월_거주자_10~19세","2026년02월_거주자_20~29세","2026년02월_거주자_30~39세","2026년02월_거주자_40~49세","2026년02월_거주자_50~59세","2026년02월_거주자_60~69세","2026년02월_거주자_70~79세","2026년02월_거주자_80~89세","2026년02월_거주자_90~99세","2026년02월_거주자_100세 이상","2026년02월_남_거주자_총인구수","2026년02월_남_거주자_연령구간인구수","2026년02월_남_거주자_0~9세","2026년02월_남_거주자_10~19세","2026년02월_남_거주자_20~29세","2026년02월_남_거주자_30~39세","2026년02월_남_거주자_40~49세","2026년02월_남_거주자_50~59세","2026년02월_남_거주자_60~69세","2026년02월_남_거주자_70~79세","2026년02월_남_거주자_80~89세","2026년02월_남_거주자_90~99세","2026년02월_남_거주자_100세 이상","2026년02월_여_거주자_총인구수","2026년02월_여_거주자_연령구간인구수","2026년02월_여_거주자_0~9세","2026년02월_여_거주자_10~19세","2026년02월_여_거주자_20~29세","2026년02월_여_거주자_30~39세","2026년02월_여_거주자_40~49세","2026년02월_여_거주자_50~59세","2026년02월_여_거주자_60~69세","2026년02월_여_거주자_70~79세","2026년02월_여_거주자_80~89세","2026년02월_여_거주자_90~99세","2026년02월_여_거주자_100세 이상","2026년03월_거주자_총인구수","2026년03월_거주자_연령구간인구수","2026년03월_거주자_0~9세","2026년03월_거주자_10~19세","2026년03월_거주자_20~29세","2026년03월_거주자_30~39세","2026년03월_거주자_40~49세","2026년03월_거주자_50~59세","2026년03월_거주자_60~69세","2026년03월_거주자_70~79세","2026년03월_거주자_80~89세","2026년03월_거주자_90~99세","2026년03월_거주자_100세 이상","2026년03월_남_거주자_총인구수","2026년03월_남_거주자_연령구간인구수","2026년03월_남_거주자_0~9세","2026년03월_남_거주자_10~19세","2026년03월_남_거주자_20~29세","2026년03월_남_거주자_30~39세","2026년03월_남_거주자_40~49세","2026년03월_남_거주자_50~59세","2026년03월_남_거주자_60~69세","2026년03월_남_거주자_70~79세","2026년03월_남_거주자_80~89세","2026년03월_남_거주자_90~99세","2026년03월_남_거주자_100세 이상","2026년03월_여_거주자_총인구수","2026년03월_여_거주자_연령구간인구수","2026년03월_여_거주자_0~9세","2026년03월_여_거주자_10~19세","2026년03월_여_거주자_20~29세","2026년03월_여_거주자_30~39세","2026년03월_여_거주자_40~49세","2026년03월_여_거주자_50~59세","2026년03월_여_거주자_60~69세","2026년03월_여_거주자_70~79세","2026년03월_여_거주자_80~89세","2026년03월_여_거주자_90~99세","2026년03월_여_거주자_100세 이상","2026년04월_거주자_총인구수","2026년04월_거주자_연령구간인구수","2026년04월_거주자_0~9세","2026년04월_거주자_10~19세","2026년04월_거주자_20~29세","2026년04월_거주자_30~39세","2026년04월_거주자_40~49세","2026년04월_거주자_50~59세","2026년04월_거주자_60~69세","2026년04월_거주자_70~79세","2026년04월_거주자_80~89세","2026년04월_거주자_90~99세","2026년04월_거주자_100세 이상","2026년04월_남_거주자_총인구수","2026년04월_남_거주자_연령구간인구수","2026년04월_남_거주자_0~9세","2026년04월_남_거주자_10~19세","2026년04월_남_거주자_20~29세","2026년04월_남_거주자_30~39세","2026년04월_남_거주자_40~49세","2026년04월_남_거주자_50~59세","2026년04월_남_거주자_60~69세","2026년04월_남_거주자_70~79세","2026년04월_남_거주자_80~89세","2026년04월_남_거주자_90~99세","2026년04월_남_거주자_100세 이상","2026년04월_여_거주자_총인구수","2026년04월_여_거주자_연령구간인구수","2026년04월_여_거주자_0~9세","2026년04월_여_거주자_10~19세","2026년04월_여_거주자_20~29세","2026년04월_여_거주자_30~39세","2026년04월_여_거주자_40~49세","2026년04월_여_거주자_50~59세","2026년04월_여_거주자_60~69세","2026년04월_여_거주자_70~79세","2026년04월_여_거주자_80~89세","2026년04월_여_거주자_90~99세","2026년04월_여_거주자_100세 이상"
"서울특별시  (1100000000)","9,233,477","9,233,477","459,008","715,905","1,245,417","1,455,919","1,350,737","1,452,383","1,303,402","827,409","366,555","55,415","1,327","4,446,996","4,446,996","235,661","365,616","582,260","727,392","667,078","713,234","617,663","372,647","149,387","15,805","253","4,786,481","4,786,481","223,347","350,289","663,157","728,527","683,659","739,149","685,739","454,762","217,168","39,610","1,074","9,238,078","9,238,078","457,883","717,911","1,243,103","1,453,703","1,351,637","1,452,741","1,304,263","831,955","367,484","56,051","1,347","4,448,615","4,448,615","235,219","366,209","581,169","726,061","667,730","713,191","618,209","374,752","149,774","16,036","265","4,789,463","4,789,463","222,664","351,702","661,934","727,642","683,907","739,550","686,054","457,203","217,710","40,015","1,082","9,238,662","9,238,662","456,369","718,682","1,240,348","1,457,901","1,347,262","1,448,776","1,304,987","837,253","368,849","56,887","1,348","4,447,513","4,447,513","234,364","366,239","579,453","727,836","665,579","711,309","618,719","377,045","150,375","16,327","267","4,791,149","4,791,149","222,005","352,443","660,895","730,065","681,683","737,467","686,268","460,208","218,474","40,560","1,081","9,233,066","9,233,066","455,285","717,167","1,235,592","1,459,863","1,345,085","1,447,146","1,304,872","839,832","369,461","57,418","1,345","4,444,168","4,444,168","233,819","365,427","576,775","728,870","664,445","710,420","618,883","378,109","150,671","16,481","268","4,788,898","4,788,898","221,466","351,740","658,817","730,993","680,640","736,726","685,989","461,723","218,790","40,937","1,077"
"서울특별시 종로구 (1111000000)","135,136","135,136","5,049","9,104","19,989","19,668","17,915","22,350","20,584","12,469","6,794","1,184","30","64,679","64,679","2,585","4,451","9,256","9,805","8,582","10,941","10,261","5,749","2,672","370","7","70,457","70,457","2,464","4,653","10,733","9,863","9,333","11,409","10,323","6,720","4,122","814","23","135,116","135,116","5,034","9,146","20,012","19,618","17,862","22,345","20,582","12,489","6,796","1,202","30","64,641","64,641","2,574","4,461","9,273","9,775","8,555","10,936","10,255","5,763","2,669","372","8","70,475","70,475","2,460","4,685","10,739","9,843","9,307","11,409","10,327","6,726","4,127","830","22","135,176","135,176","5,009","9,180","19,980","19,762","17,817","22,247","20,579","12,570","6,788","1,215","29","64,653","64,653","2,570","4,467","9,250","9,852","8,526","10,889","10,244","5,798","2,670","379","8","70,523","70,523","2,439","4,713","10,730","9,910","9,291","11,358","10,335","6,772","4,118","836","21","135,081","135,081","5,005","9,149","19,929","19,758","17,809","22,169","20,614","12,593","6,801","1,226","28","64,581","64,581","2,568","4,450","9,228","9,845","8,522","10,838","10,242","5,822","2,679","379","8","70,500","70,500","2,437","4,699","10,701","9,913","9,287","11,331","10,372","6,771","4,122","847","20"
"서울특별시 중구 (1114000000)","116,352","116,352","4,933","5,726","15,594","21,108","15,868","17,439","17,568","11,377","5,726","994","19","55,747","55,747","2,493","2,866","6,940","10,506","7,948","8,718","8,645","5,209","2,165","254","3","60,605","60,605","2,440","2,860","8,654","10,602","7,920","8,721","8,923","6,168","3,561","740","16","116,268","116,268","4,848","5,825","15,520","21,014","15,891","17,429","17,548","11,439","5,742","992","20","55,736","55,736","2,469","2,913","6,904","10,467","7,961","8,717","8,628","5,247","2,172","255","3","60,532","60,532","2,379","2,912","8,616","10,547","7,930","8,712","8,920","6,192","3,570","737","17","116,415","116,415","4,846","5,848","15,535","21,072","15,913","17,399","17,535","11,493","5,743","1,011","20","55,847","55,847","2,467","2,926","6,929","10,490","7,969","8,721","8,637","5,274","2,170","261","3","60,568","60,568","2,379","2,922","8,606","10,582","7,944","8,678","8,898","6,219","3,573","750","17","116,427","116,427","4,840","5,812","15,478","21,115","15,930","17,416","17,508","11,560","5,727","1,022","19","55,851","55,851","2,471","2,904","6,886","10,523","7,966","8,738","8,620","5,308","2,164","268","3","60,576","60,576","2,369","2,908","8,592","10,592","7,964","8,678","8,888","6,252","3,563","754","16"
"서울특별시 용산구 (1117000000)","198,734","198,734","9,796","12,572","26,173","36,864","28,572","31,090","27,583","15,962","8,515","1,561","46","94,504","94,504","4,953","6,438","11,622","17,913","14,114","15,056","13,477","7,206","3,234","477","14","104,230","104,230","4,843","6,134","14,551","18,951","14,458","16,034","14,106","8,756","5,281","1,084","32","198,480","198,480","9,764","12,593","26,030","36,736","28,576","31,070","27,530","16,075","8,483","1,576","47","94,367","94,367","4,944","6,439","11,531","17,878","14,120","15,023","13,450","7,270","3,222","477","13","104,113","104,113","4,820","6,154","14,499","18,858","14,456","16,047","14,080","8,805","5,261","1,099","34","197,948","197,948","9,757","12,571","25,829","36,715","28,443","30,920","27,522","16,087","8,469","1,589","46","94,058","94,058","4,947","6,402","11,406","17,850","14,039","14,978","13,437","7,293","3,209","485","12","103,890","103,890","4,810","6,169","14,423","18,865","14,404","15,942","14,085","8,794","5,260","1,104","34","197,183","197,183","9,732","12,542","25,637","36,652","28,364","30,798","27,371","16,024","8,408","1,605","50","93,631","93,631","4,930","6,390","11,300","17,797","13,984","14,912","13,366","7,258","3,197","482","15","103,552","103,552","4,802","6,152","14,337","18,855","14,380","15,886","14,005","8,766","5,211","1,123","35"
"서울특별시 성동구 (1120000000)","272,673","272,673","15,643","17,073","37,531","48,202","39,240","42,217","38,066","22,265","10,837","1,571","28","131,544","131,544","8,059","8,430","17,840","23,684","19,690","20,567","18,619","10,031","4,198","421","5","141,129","141,129","7,584","8,643","19,691","24,518","19,550","21,650","19,447","12,234","6,639","1,150","23","272,835","272,835","15,584","17,181","37,538","48,037","39,273","42,274","38,052","22,419","10,857","1,591","29","131,544","131,544","8,023","8,416","17,856","23,604","19,698","20,586","18,605","10,109","4,214","427","6","141,291","141,291","7,561","8,765","19,682","24,433","19,575","21,688","19,447","12,310","6,643","1,164","23","273,084","273,084","15,638","17,269","37,529","48,158","39,189","42,193","38,072","22,522","10,856","1,629","29","131,637","131,637","8,047","8,454","17,886","23,632","19,657","20,561","18,594","10,154","4,208","438","6","141,447","141,447","7,591","8,815","19,643","24,526","19,532","21,632","19,478","12,368","6,648","1,191","23","272,909","272,909","15,623","17,247","37,429","48,158","39,146","42,188","38,055","22,549","10,850","1,637","27","131,566","131,566","8,020","8,452","17,853","23,635","19,645","20,582","18,586","10,155","4,197","435","6","141,343","141,343","7,603","8,795","19,576","24,523","19,501","21,606","19,469","12,394","6,653","1,202","21"
"서울특별시 광진구 (1121500000)","328,601","328,601","13,439","22,777","54,480","56,551","45,477","50,481","45,255","26,610","11,711","1,781","39","157,212","157,212","6,868","11,507","24,889","28,118","22,190","24,445","21,712","12,087","4,881","504","11","171,389","171,389","6,571","11,270","29,591","28,433","23,287","26,036","23,543","14,523","6,830","1,277","28","328,772","328,772","13,409","22,816","54,485","56,443","45,504","50,440","45,344","26,699","11,776","1,815","41","157,313","157,313","6,862","11,505","24,942","28,044","22,208","24,431","21,769","12,119","4,910","511","12","171,459","171,459","6,547","11,311","29,543","28,399","23,296","26,009","23,575","14,580","6,866","1,304","29","328,807","328,807","13,372","22,928","54,406","56,560","45,382","50,214","45,394","26,855","11,819","1,839","38","157,261","157,261","6,844","11,545","24,872","28,102","22,124","24,326","21,786","12,203","4,930","518","11","171,546","171,546","6,528","11,383","29,534","28,458","23,258","25,888","23,608","14,652","6,889","1,321","27","328,723","328,723","13,332","22,879","54,217","56,692","45,399","50,060","45,442","26,979","11,827","1,857","39","157,183","157,183","6,819","11,522","24,735","28,149","22,148","24,258","21,830","12,250","4,938","523","11","171,540","171,540","6,513","11,357","29,482","28,543","23,251","25,802","23,612","14,729","6,889","1,334","28"
"서울특별시 동대문구 (1123000000)","346,426","346,426","17,744","22,730","54,926","54,534","47,682","52,058","48,343","31,213","15,032","2,115","49","168,742","168,742","9,033","11,516","25,662","27,688","24,364","26,118","23,646","14,104","5,975","625","11","177,684","177,684","8,711","11,214","29,264","26,846","23,318","25,940","24,697","17,109","9,057","1,490","38","348,210","348,210","17,768","23,225","55,269","54,776","47,810","52,264","48,435","31,394","15,064","2,155","50","169,563","169,563","9,064","11,723","25,878","27,777","24,399","26,223","23,672","14,193","5,983","640","11","178,647","178,647","8,704","11,502","29,391","26,999","23,411","26,041","24,763","17,201","9,081","1,515","39","349,373","349,373","17,774","23,459","55,489","55,186","47,821","52,169","48,488","31,601","15,159","2,176","51","170,079","170,079","9,060","11,842","25,911","27,984","24,425","26,188","23,681","14,311","6,012","654","11","179,294","179,294","8,714","11,617","29,578","27,202","23,396","25,981","24,807","17,290","9,147","1,522","40","349,491","349,491","17,788","23,387","55,361","55,382","47,859","52,084","48,508","31,707","15,171","2,194","50","170,129","170,129","9,090","11,791","25,860","28,072","24,446","26,126","23,718","14,347","6,016","653","10","179,362","179,362","8,698","11,596","29,501","27,310","23,413","25,958","24,790","17,360","9,155","1,541","40"
"서울특별시 중랑구 (1126000000)","375,109","375,109","16,547","23,062","44,779","58,575","50,328","61,207","63,778","38,158","16,340","2,281","54","182,983","182,983","8,409","11,881","21,077","29,788","26,187","30,091","30,880","17,443","6,615","605","7","192,126","192,126","8,138","11,181","23,702","28,787","24,141","31,116","32,898","20,715","9,725","1,676","47","375,077","375,077","16,385","23,085","44,748","58,525","50,228","61,116","63,880","38,385","16,367","2,304","54","182,877","182,877","8,329","11,877","21,018","29,751","26,130","30,062","30,921","17,544","6,621","616","8","192,200","192,200","8,056","11,208","23,730","28,774","24,098","31,054","32,959","20,841","9,746","1,688","46","374,876","374,876","16,287","23,038","44,495","58,728","50,069","60,767","64,006","38,634","16,456","2,339","57","182,757","182,757","8,277","11,828","20,889","29,863","26,025","29,903","30,987","17,684","6,659","634","8","192,119","192,119","8,010","11,210","23,606","28,865","24,044","30,864","33,019","20,950","9,797","1,705","49","374,803","374,803","16,261","22,944","44,270","58,894","50,015","60,639","64,033","38,815","16,513","2,364","55","182,748","182,748","8,272","11,784","20,777","29,967","26,007","29,851","30,980","17,786","6,677","639","8","192,055","192,055","7,989","11,160","23,493","28,927","24,008","30,788","33,053","21,029","9,836","1,725","47"
"서울특별시 성북구 (1129000000)","419,522","419,522","21,344","33,655","62,189","56,623","59,197","69,998","58,029","37,193","18,471","2,764","59","200,414","200,414","11,013","17,014","28,945","28,326","29,209","34,301","27,252","16,321","7,241","781","11","219,108","219,108","10,331","16,641","33,244","28,297","29,988","35,697","30,777","20,872","11,230","1,983","48","419,929","419,929","21,223","34,098","62,195","56,493","59,074","70,061","58,081","37,353","18,491","2,798","62","200,595","200,595","10,969","17,131","29,023","28,263","29,155","34,315","27,282","16,400","7,248","796","13","219,334","219,334","10,254","16,967","33,172","28,230","29,919","35,746","30,799","20,953","11,243","2,002","49","420,178","420,178","21,171","34,286","62,195","56,664","58,856","69,888","58,043","37,581","18,580","2,854","60","200,518","200,518","10,939","17,149","28,977","28,302","29,055","34,204","27,303","16,506","7,264","807","12","219,660","219,660","10,232","17,137","33,218","28,362","29,801","35,684","30,740","21,075","11,316","2,047","48","419,853","419,853","21,156","34,165","62,064","56,723","58,753","69,755","58,049","37,658","18,595","2,874","61","200,303","200,303","10,929","17,103","28,840","28,330","29,006","34,134","27,326","16,541","7,266","816","12","219,550","219,550","10,227","17,062","33,224","28,393","29,747","35,621","30,723","21,117","11,329","2,058","49"
"서울특별시 강북구 (1130500000)","276,750","276,750","9,525","17,767","33,926","34,115","35,764","47,967","47,184","32,366","16,061","2,036","39","132,973","132,973","4,825","9,076","15,696","17,858","18,612","23,696","22,410","13,961","6,228","607","4","143,777","143,777","4,700","8,691","18,230","16,257","17,152","24,271","24,774","18,405","9,833","1,429","35","276,794","276,794","9,489","17,838","33,812","34,050","35,710","47,982","47,209","32,501","16,092","2,069","42","132,970","132,970","4,805","9,063","15,649","17,825","18,618","23,695","22,411","14,037","6,246","614","7","143,824","143,824","4,684","8,775","18,163","16,225","17,092","24,287","24,798","18,464","9,846","1,455","35","276,786","276,786","9,428","17,864","33,737","34,116","35,591","47,814","47,295","32,655","16,138","2,105","43","132,863","132,863","4,771","9,046","15,549","17,848","18,571","23,627","22,469","14,091","6,256","628","7","143,923","143,923","4,657","8,818","18,188","16,268","17,020","24,187","24,826","18,564","9,882","1,477","36","276,525","276,525","9,380","17,802","33,634","34,104","35,460","47,743","47,317","32,733","16,162","2,147","43","132,752","132,752","4,774","8,999","15,511","17,854","18,509","23,590","22,489","14,126","6,252","640","8","143,773","143,773","4,606","8,803","18,123","16,250","16,951","24,153","24,828","18,607","9,910","1,507","35"
